Timestamp,People Count,Density (%),Status
2026-06-11 09:41:02,0,0.0,LOW
2026-06-11 09:41:03,7,8.8,LOW
2026-06-11 09:41:04,5,6.2,LOW
2026-06-11 09:41:05,7,8.8,LOW
2026-06-11 09:41:06,6,7.5,LOW
2026-06-11 09:41:07,7,8.8,LOW
2026-06-11 09:41:08,6,7.5,LOW
2026-06-11 09:41:09,6,7.5,LOW
2026-06-11 09:41:10,7,8.8,LOW
2026-06-11 09:41:12,8,10.0,LOW
2026-06-11 09:41:13,4,5.0,LOW
2026-06-11 09:41:14,5,6.2,LOW
2026-06-11 09:41:15,3,3.8,LOW
2026-06-11 09:41:16,5,6.2,LOW
2026-06-11 09:41:17,2,2.5,LOW
2026-06-11 09:41:18,2,2.5,LOW
2026-06-11 09:41:19,2,2.5,LOW
2026-06-11 09:41:20,3,3.8,LOW
2026-06-11 09:41:21,4,5.0,LOW
2026-06-11 09:41:23,4,5.0,LOW
2026-06-11 09:41:24,4,5.0,LOW
2026-06-11 09:41:25,2,2.5,LOW
2026-06-11 09:41:26,3,3.8,LOW
2026-06-11 09:41:27,5,6.2,LOW
2026-06-11 09:50:43,4,5.0,LOW
2026-06-11 09:50:44,3,3.8,LOW
2026-06-11 09:50:45,3,3.8,LOW
2026-06-11 09:50:46,3,3.8,LOW
2026-06-11 09:50:47,4,5.0,LOW
2026-06-11 09:50:49,4,5.0,LOW
2026-06-11 09:50:50,3,3.8,LOW
2026-06-11 09:50:51,3,3.8,LOW
2026-06-11 09:50:52,3,3.8,LOW
2026-06-11 09:50:53,5,6.2,LOW
2026-06-11 09:50:54,3,3.8,LOW
2026-06-11 09:50:55,6,7.5,LOW
2026-06-11 09:50:56,3,3.8,LOW
2026-06-11 09:50:57,4,5.0,LOW
2026-06-11 09:50:58,5,6.2,LOW
2026-06-11 09:50:59,3,3.8,LOW
2026-06-11 09:51:00,4,5.0,LOW
2026-06-11 09:51:01,3,3.8,LOW
2026-06-11 09:51:02,3,3.8,LOW
2026-06-11 09:51:03,3,3.8,LOW
2026-06-11 09:51:04,4,5.0,LOW
2026-06-11 09:51:05,2,2.5,LOW
2026-06-11 09:51:07,2,2.5,LOW
